system:index,CLASS_ID,b1,b2,b3,b4,rand,.geo
0000158ce05169d11f52_87,4,53.95174,-8.1840315,-8.302553,0.07532826,0.702316995336806,
0000158ce05169d11f52_91,4,17.631031,-2.71799,-0.6886533,2.6240993,0.8696992324769366,
0000158ce05169d11f52_95,4,61.02056,-11.281551,-9.837667,0.35176048,0.7638600205006096,
0000158ce05169d11f52_100,4,21.831242,18.669441,-5.582173,0.028775668,0.9283326973990336,
0000158ce05169d11f52_101,4,32.01558,10.543895,-6.689717,-0.09826792,0.9998667262380644,
0000158ce05169d11f52_103,4,49.600315,-4.9945545,-9.708175,-1.3862127,0.7438002930563595,
0000158ce05169d11f52_109,4,1.4307498,-2.3523707,-0.80120426,1.91928,0.9425177330711154,
0000158ce05169d11f52_110,4,25.075424,-6.9965954,-2.7631977,2.5115337,0.8427297484344183,
0000158ce05169d11f52_114,4,58.0546,-6.13183,-8.16747,2.6403315,0.8747456764928617,
0000158ce05169d11f52_124,4,77.21487,-23.509855,-15.370375,-3.514148,0.8245283133527026,
0000158ce05169d11f52_126,4,-1.0653431,-0.6848575,-1.5543169,0.7301663,0.8608132068992078,
0000158ce05169d11f52_130,4,61.02555,-11.280692,-9.824248,0.3456311,0.6993365320188243,
0000158ce05169d11f52_131,4,66.85984,-13.939982,-9.973471,1.2760512,0.9407790125956509,
0000158ce05169d11f52_135,4,9.697777,4.429982,-4.8143578,0.007844964,0.9237491175094874,
0000158ce05169d11f52_136,4,7.846282,5.0852613,-2.72113,0.9602908,0.965066493375282,
0000158ce05169d11f52_137,4,7.9755974,18.579533,-2.651526,1.0534788,0.8311064674582973,
0000158ce05169d11f52_142,4,13.746487,3.2756019,-5.2702355,0.25916818,0.9446679188124495,
0000158ce05169d11f52_151,4,52.104267,1.7413193,-8.659866,2.098798,0.7724157740838242,
0000158ce05169d11f52_152,4,18.175398,15.643602,-3.7933648,0.6398626,0.9947293150871758,
0000158ce05169d11f52_153,4,16.502668,25.457178,-4.0222573,0.3893474,0.6998754812961562,
0000158ce05169d11f52_157,4,58.86194,-5.595681,-11.411925,-1.2375486,0.773237097945279,
0000158ce05169d11f52_160,4,15.521051,27.720797,-5.4625745,-0.20421351,0.9111811009115126,
0000158ce05169d11f52_162,4,35.290516,6.574746,-6.1297736,1.3853948,0.9412668104779707,
0000158ce05169d11f52_165,4,33.788498,14.303914,-5.8162646,1.7087623,0.6903739686571446,
