system:index,CLASS_ID,b1,b2,b3,b4,rand,.geo
0000158ce05169d11f52_180,4,26.96987,24.495844,-6.5306916,1.3359952,0.35354762218736724,
0000158ce05169d11f52_181,4,36.24923,13.432187,-8.647305,0.4868589,0.17044887717295332,
0000158ce05169d11f52_183,4,74.368225,-22.482002,-13.672568,1.1265242,0.12440526508101135,
0000158ce05169d11f52_185,4,26.803864,18.328371,-5.92608,1.1003162,0.029449014446226385,
0000158ce05169d11f52_186,4,32.75356,15.722336,-4.8376665,2.7620955,0.4272766682184499,
0000158ce05169d11f52_189,4,27.293606,23.248814,-8.007915,-0.12392493,0.33719845047476915,
0000158ce05169d11f52_191,4,30.90656,18.025913,-8.83743,-0.21751103,0.4372900055901273,
0000158ce05169d11f52_192,4,32.02385,13.683057,-7.0081463,1.1125386,0.23294206208879287,
0000158ce05169d11f52_193,4,28.010813,14.904755,-5.67902,1.9942126,0.03245176696580665,
0000158ce05169d11f52_194,4,14.536319,26.9978,-5.175623,0.662353,0.14417170430488868,
0000158ce05169d11f52_195,4,17.877338,28.206781,-4.405713,1.578711,0.15987334215140736,
0000158ce05169d11f52_198,4,30.752516,-3.6443784,-7.167655,1.4546074,0.567937944908641,
0000158ce05169d11f52_199,4,10.546591,7.4552035,-3.3710392,2.364514,0.49263688029815345,
0000158ce05169d11f52_200,4,20.144106,26.43844,-6.154128,1.3647821,0.48514218940155274,
0000158ce05169d11f52_201,4,25.024815,22.974823,-6.5713487,1.6658368,0.10130593699182855,
0000158ce05169d11f52_204,4,16.305529,30.765425,-4.3590875,2.5698361,0.5252132169201829,
0000158ce05169d11f52_205,4,19.605558,24.513887,-6.037978,1.3930112,0.12853925756023565,
0000158ce05169d11f52_206,4,30.663263,14.934762,-9.6288185,-0.17202298,0.0787620263081249,
0000158ce05169d11f52_207,4,48.38202,1.7234578,-8.968026,1.7060714,0.6081586827278109,
0000158ce05169d11f52_208,4,50.465935,-4.0169907,-8.479335,2.428481,0.10609664627413051,
0000158ce05169d11f52_209,4,26.171219,16.421436,-6.2457047,1.6142187,0.14172119544602002,
0000158ce05169d11f52_210,4,14.000603,30.341202,-4.4560404,1.8106291,0.02331308669584864,
0000158ce05169d11f52_211,4,22.704288,22.55276,-6.7361946,0.97832376,0.4981628013636158,
0000158ce05169d11f52_212,4,13.5702915,13.690521,-6.2804575,0.7194477,0.4258275676996479,
0000158ce05169d11f52_213,4,1.9680774,11.832541,-5.1469154,1.572237,0.26561323623739475,
0000158ce05169d11f52_215,4,19.333656,28.74577,-6.104465,1.2269942,0.1329493933496425,
0000158ce05169d11f52_216,4,19.59752,29.708055,-6.181911,1.2292926,0.048855907169545354,
0000158ce05169d11f52_218,4,20.501314,30.446371,-6.8445215,0.7821251,0.6227815133903796,
0000158ce05169d11f52_222,4,52.584457,-4.574203,-7.9207506,2.7340195,0.21491209816556056,
0000158ce05169d11f52_223,4,43.99304,1.0656925,-6.070718,3.1121898,0.12816995831402178,
0000158ce05169d11f52_224,4,19.318419,20.48977,-5.005934,1.579135,0.5348463028812889,
0000158ce05169d11f52_226,4,-3.1449335,16.452818,-3.541119,0.9502154,0.5296501534684549,
0000158ce05169d11f52_227,4,7.448947,17.670128,-3.8105395,2.4468715,0.16236330382506825,
0000158ce05169d11f52_231,4,31.47871,17.818789,-9.759831,-0.2697088,0.44464307965012073,
0000158ce05169d11f52_233,4,26.06383,21.55904,-7.5511937,0.6329616,0.3514641429646619,
0000158ce05169d11f52_235,4,19.104984,17.39273,-5.657499,1.4674947,0.3052148441084095,
0000158ce05169d11f52_237,4,34.435284,6.7675304,-7.2642956,1.6590109,0.6271295216451448,
0000158ce05169d11f52_238,4,19.02029,14.344976,-5.0013967,2.0014088,0.3333847128693719,
0000158ce05169d11f52_239,4,8.372821,13.215632,-4.293795,2.1424904,0.37700565781162587,
0000158ce05169d11f52_242,4,32.03759,19.737307,-9.769214,-0.42844453,0.0741442791943362,
0000158ce05169d11f52_243,4,37.385483,15.145405,-9.5704365,0.28061694,0.1820009529608706,
0000158ce05169d11f52_244,4,23.109692,16.173878,-7.0321975,0.64294845,0.41166565397449684,
0000158ce05169d11f52_245,4,4.530532,15.267513,-4.880471,0.85454214,0.49493148282886557,
0000158ce05169d11f52_246,4,6.469139,8.615912,-3.0539105,2.2732131,0.41238582036181315,
0000158ce05169d11f52_247,4,18.973595,9.088827,-5.828557,1.1497728,0.4585869236698752,
0000158ce05169d11f52_248,4,16.32963,15.112142,-4.653414,1.7803072,0.26882164011930443,
0000158ce05169d11f52_249,4,11.621128,16.492357,-3.6937678,2.0594227,0.23801782235506486,
0000158ce05169d11f52_250,4,11.184827,28.072702,-3.6643405,2.3832946,0.49194358694072127,
0000158ce05169d11f52_251,4,5.7130075,19.167755,-3.899279,1.5361512,0.6570614704604963,
0000997995f7a0be5467_0,4,59.354805,-8.854252,-11.638441,-0.8133991,0.5442846258243658,
0000997995f7a0be5467_1,4,32.710136,10.462991,-5.63614,1.8664923,0.29507197391239115,
0000997995f7a0be5467_3,4,8.790992,14.224466,-2.9571314,2.6829202,0.36215104563575573,
0000997995f7a0be5467_4,4,33.153217,-1.1922588,-6.3442106,0.19453277,0.46908473923842164,
0000997995f7a0be5467_5,4,13.576763,12.751751,-4.2449274,0.6432606,0.1186781219343529,
0000997995f7a0be5467_7,4,-8.070689,16.86441,-2.3018088,1.0142809,0.02104707593700328,
0000997995f7a0be5467_8,4,20.912802,12.741532,-4.88283,0.7613252,0.5983366636446011,
0000997995f7a0be5467_9,4,23.807175,2.4938903,-6.1105494,0.44722205,0.44987167393099814,
0000997995f7a0be5467_10,4,12.217344,7.947988,-4.044404,0.840849,0.44668684130267167,
0000997995f7a0be5467_11,4,-3.2924726,15.545889,-2.2352316,1.7021108,0.5047652138867117,
0000997995f7a0be5467_13,4,-4.1904383,28.251934,-2.7873564,1.5713748,0.10469797757026134,
0000997995f7a0be5467_14,4,1.6000952,35.905666,-4.024426,0.9267148,0.25517414301821983,
0000997995f7a0be5467_15,4,34.82493,10.69285,-8.499374,-0.43463007,0.6446819553781237,
0000997995f7a0be5467_17,4,9.014694,22.432825,-3.0433638,1.1600648,0.5273446537447342,
0000997995f7a0be5467_19,4,-8.503329,17.985254,-2.7529614,0.41828787,0.09971954620956702,
0000997995f7a0be5467_20,4,-4.785235,28.388546,-2.6742897,0.41630664,0.6298027921943576,
0000997995f7a0be5467_22,4,2.4503775,38.78112,-3.9826066,0.625872,0.47530710473640725,
0000997995f7a0be5467_24,4,49.198227,-0.6612933,-9.686406,0.4714263,0.4589406957011958,
0000997995f7a0be5467_25,4,48.82541,0.5248596,-9.166315,0.91186285,0.08700539827785347,
0000997995f7a0be5467_28,4,2.1672966,24.3757,-2.7453969,1.2564183,0.6427497312938615,
0000997995f7a0be5467_29,4,-2.6205547,25.773367,-2.167293,1.9734887,0.2541954104486084,
0000997995f7a0be5467_30,4,1.281918,37.078987,-3.2373137,1.0569224,0.49160690050171363,
0000997995f7a0be5467_31,4,2.926035,40.71715,-4.3880167,0.9182117,0.49896749079350455,
0000997995f7a0be5467_33,4,3.0993829,38.63366,-3.8409498,1.4937963,0.12402559546705916,
0000997995f7a0be5467_34,4,45.394146,-1.5307016,-7.6403446,1.7349122,0.18065795048691546,
0000997995f7a0be5467_35,4,52.844078,-3.6879542,-8.710805,1.4106797,0.5543271547158283,
0000997995f7a0be5467_36,4,30.143335,17.334291,-6.8115163,0.81304574,0.4840330529774195,
0000997995f7a0be5467_37,4,15.015982,31.059366,-4.606758,0.79765713,0.22176112843031792,
